מספר מאגר,זיהוי בעל המאגר- תאגיד,שם בעל מאגר,שם המאגר,ישוב,רחוב,בית,ת.ד.,מיקוד,שרותי דיוור,סטטוס מאגר,תאריך המאגר
4579,510753551,"סופר-פארם (ישראל) בע""מ",נצרת עילית - עובדים,הרצליה,שנקר אריה,16,,4672516,,מאושר,12/7/2009
4731,520041096,"א. לוי השקעות ובנין בע""מ","נתונים של עובדי החברה ""חברה למשכנת"" כמפו",חיפה,חורב,30,0,3434206,,מאושר,7/9/2001
5639,512282591,ישעיהו רייך משרד עורכי דין,ישעיהו רייך משרד עורכי דין,תל אביב,יצחק שדה,17,51972,6777517,,מאושר,11/18/2001
6062,61199,שירותי בריאות כללית,"- COPבי""ח כרמל",תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,6/8/2006
6131,500266002,עירית חולון,מצבת מורים על יסודים בחולון,חולון               ,ויצמן,58,,5837309,,מאושר,12/23/2002
6223,513516773,"י. אוליניק-מחקרי שוק מתקדמים בע""מ",מאגר מחקר ונסקרים,רמת-גן,ז'בוטינסקי,134,0,5260206,,מאושר,5/31/2006
6689,513664193,"צ.ג.י. פרסונל שירותי כ""א 2005 בע""מ",מאגר עובדים זרים,ראשון לציון,הרצל,63,0,7526724,,מאושר,5/31/2006
6933,540179298,גולדנט שרותי תקשורת,מסחר אלקטרוני,תל אביב - יפו,הברזל,19,6397,6106301,,מאושר,7/26/2001
6986,513184549,"לוח  פוקוס ישראל בע""מ",לוח פוקוס,רמת גן,דרך בגין מנחם,20,0,5270005,כן,מאושר,5/31/2006
7113,510510530,"א.מ.ש קרלטון ת""א תיירות ונכסים בעמ",תוכנת שכר,תל אביב,פרי אליעזר,10,0,6357325,,מאושר,7/25/2001
7403,61199,שירותי בריאות כללית,מרפאת התפתחות הילד נתניה במחוז שרון שומר,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,12/7/2009
7655,513973255,"צ'מפיון מוטורס בע""מ",מאגר מרכזי,בני ברק,"לח""י",7,,5120012,כן,מאושר,7/8/2001
7717,512705914,"א.ר. ברק טכנולוגיה (1998) בע""מ",מנהל על בסיס נתונים של,דימונה,"מ""ג המעפילים",215,,8604702,כן,מותלה חוב,NULL
9956,500262001,עירית בת-ים,רשיונות וקנסות,בת ים,,,10,5910001,,מאושר,11/19/2002
10337,580300747,"קרן מחקרים רפואיים, פיתוח תשתית ושרותי בריאות - ליד המרכז הרפואי אסף הרופא (ע""ר)",מערכת שכר,צריפין              ,"מרכז רפואי ""אסף הרופא"" אצל מנהל ביה""ח",.,,60930,,מאושר,12/23/2002
10756,510722291,"שילב שיווק ישיר לבית היולדת בע""מ",קובץ עובדי שילב,בני ברק,"לח""י",28,0,5120045,,מאושר,12/9/2001
11479,510215759,גלעד בעמ,גלעד בע''מ,תל אביב - יפו,,,109,6100002,,מאושר,11/19/2002
11723,511236440,"אופטיקנה - האופטיסטור הראשון בע""מ",מאגר לקוחות,פתח-תקוה,אודם,12,0,4951795,כן,מאושר,12/9/2001
12087,512704701,"אופקים שיווק ישיר לתיירות בע""מ",אופקים שיווק ישיר מאגר לקוחות,תל אביב - יפו,אידלסון אברהם,5,,6332446,כן,מותלה חוב,NULL
13000,511050783,"אורשר מחסני ערובה (1985) בע""מ",עובדים,אשדוד,,,4033,7714001,,מאושר,7/3/2001
13635,512974254,"אקסטרים טכנולוגיות מידע בע""מ",קורות חיים של מועמדים לעבודה,פתח תקווה,,,10061,4900101,,מאושר,3/18/2013
14334,61199,שירותי בריאות כללית,שרותי בריאות כללית-פנורמה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,6/8/2006
14753,520044462,"סיבידיה 2010 בע""מ","אשכול פרט עובדים - אי סי טל בע""מ",הרצליה              ,ספיר,3,12003,,,מותלה חוב,NULL
14921,500261508,מ. א. לכיש,שכר כח אדם,נהורה,ד.נ. לכיש דרום,.,,79340,,מאושר,4/28/2011
15149,511313215,"ש.ל.ה. שירותי רפואה בע""מ","ש.ל.ה שירותים לבריאות השן בע""מ",תל אביב - יפו,ארלוזורוב,101,16250,6116201,,מאושר,11/19/2002
15225,511025496,"איזוטופ  בע""מ","תוכנת "" הסכמים."":",גדרה,,,2,7075001,,מאושר,11/19/2002
15423,512655424,"איי. אם. אם. - סוכנות לביטוח (1998) בע""מ",הכי ישיר,פתח תקווה,הלפיד,8,7071,4925822,,מאושר,11/19/2002
15582,511518763,"ינון טכנולוגיות ומחשבים 1990 בע""מ",ללא שם,רמת גן,היצירה,3,0,5252141,,מאושר,7/25/2001
15651,510613896,"איילה נסיעות ותיירות בע""מ",גל - אור,ירושלים,,,1166,9101002,,מאושר,6/19/2001
15720,512003690,"אייס רשתות שיווק - מוצרי צריכה בע""מ",מועדון לקוחות,פתח תקווה,גליס,9,,4927909,כן,מאושר,11/18/2001
16467,520020033,"הבורסה לניירות ערך בתל - אביב בע""מ",מערכת לניהול לקוחות,תל אביב - יפו,אחד העם,54,,6520216,,מאושר,12/7/2009
16948,512164245,"אל אם לוי משה קבלנים בע""מ",ללא שם,רמת השרון,אוסישקין,93,,4720425,,מותלה חוב,NULL
17043,520017146,אל-על נתיבי אויר לישראל בעמ,ניהול הכנסות,לוד                 ,,,41,7110001,,מאושר,6/19/2001
18163,61199,שירותי בריאות כללית,מרפאת קרית ספר מחוז מרכז,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,4/23/2006
18780,510378771,"יעל תכנה ומערכות בע""מ",תוצאות מבדקי מהימנות מועמדים,כפר סבא,עתירי ידע,9,,4464309,,מותלה חוב,NULL
19000,61199,שירותי בריאות כללית,מרפאת לוד שיכון מחוז מרכז,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,4/23/2006
19077,512362468,"אלקטרו דיפו בע""מ",רשימת לקוחות,פתח תקווה,גליס,9,0,4927909,,מותלה חוב,NULL
19559,520037094,"מרכז רפואי תל-אביב ע""ש אליאס סוראסקי",דנא חולי פרקינסון ובקרה,תל אביב - יפו,ויצמן,6,,6423906,,מאושר,5/31/2006
20008,513661850,"דנה שירותי כוח אדם בע""מ",מאגר פרטי עובדים זרים,אבן יהודה,המיסדים,41,1634,4051113,,מותלה חוב,NULL
20273,61199,שירותי בריאות כללית,ממוגרפיה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,4/30/2006
20342,61199,שירותי בריאות כללית,"תעסוקתית ראשל""צ מחוז מרכז",תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,4/23/2006
20718,511569972,"אסיא - שרותי בריאות קהילתיים בע""מ",תיקים רפואיים ממוחשבים,נתיבות,שד ירושלים,5,216,8777205,,מאושר,6/19/2001
21326,500106406,משרד הרווחה/המשרד הראשי,שרות מבחן לנוער - כפר סבא,ירושלים,בנק ישראל,5,,9195021,,מאושר,4/24/2006
21333,513210179,"יגאל אברהמוב שמאות מקרקעין וניהול נכסים בע""מ ",יגאל אברהמוב,תל אביב,אבידן דוד,12,0,6962078,,מאושר,11/21/2002
21937,580001717,ההתאחדות לכדורגל בישראל,מועדון גול,רמת גן,דרך אבא הלל,299,3591,5259407,,מאושר,11/22/2001
22178,520039116,"מיני ליין בע""מ",מעדון לקוחות קבוצת מיני ליין,פתח תקווה,גרניט,12,3469,4951411,כן,מותלה חוב,NULL
22323,511780512,"ארגיל שירותי תובלה (1993) בע""מ",תוכנת שכר עובדים,פארק תעשיות חבל מודי,השקד,9,,7319900,,מותלה חוב,NULL
22606,510936347,"ארטרא בע""מ",כנסים ותערוכות ארטרא,תל אביב,נירים,1,9352,6706036,כן,מאושר,11/19/2002
22865,0,,מרפאה לרפואת משפחה,,,,,,,מאושר,4/20/2006
22940,0,,"ד""ר ט.ב .פאדל",,,,,,,מאושר,11/20/2002
23207,513647644,"טוטוקרד 5 בע""מ","טוטוקרד בע""מ",ראשון לציון,דרך המכבים,46,15019,7505001,כן,מאושר,11/22/2004
23306,513135467,"תדיראן טלקום בע""מ",ספקים,פתח תקווה,,,450,4910302,,מאושר,4/30/2006
23350,0,,מרפאת רייפן,,,,,,,מאושר,4/20/2006
23466,511874257,"המרינה הכחולה בע""מ",עוגנים,אשדוד,אוניון,1,14282,7777201,,מאושר,7/11/2001
24089,590000931,הקרן למפעל שיקום,מרכז שיקום רחובות,תל אביב - יפו       ,יהודה החסיד,57,15002,6115001,,מאושר,11/21/2002
24898,61199,שירותי בריאות כללית,"מרפאת חרות/משמרת מחוז שו""ש שרותי בריאות",תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,12/7/2009
25445,513662692,"עוז פאור בע""מ",עובדים זרים לענף הבניה,ראשון לציון,לוי משה,11,0,7565828,,מאושר,5/31/2006
25796,513538082,"סטודיו 10 מדיה גרופ בע""מ",סטודיו www.studio10.co.il 10,תל אביב,קויפמן יחזקאל,6,0,6801298,כן,מאושר,5/28/2006
25828,511361412,"תאטראות מותגים ופרסום בע""מ",יעף רשת ספריות ענק הוידאו,הרצליה,מדינת היהודים,91,,4676673,,מותלה חוב,NULL
25888,512477225,"בינת סמך (אאוטסורסינג) בע""מ","בינת סמך בע""מ",תל אביב - יפו,ולנברג ראול,24,,6971920,,מאושר,11/19/2002
26343,0,,בית מרקחת הנשיא חדרה,,,,,,,מאושר,6/19/2001
26367,0,,בית מרחקת מרכז חולון,,,,,,,מאושר,7/17/2001
26373,0,,ללא שם,,,,,,,מאושר,7/17/2001
26412,511249260,"בית מרקחת אבי בע""מ","בית מרקחת אבי בע""מ תל חי 34רמת גן",רמת גן,ז'בוטינסקי,155,,5257511,,מאושר,6/19/2001
26436,512300260,"בית מרקחת דן בע""מ","בית מקחת דן בע""מ",אשדוד,מרכז מסחרי ו',999,,0,,מותלה חוב,NULL
26459,512484486,"בית מרקחת סביון בע""מ",בית מרקחת סביון,סביון,השקמה,1,2067,5651801,,מאושר,10/28/2001
27708,512339177,"דקל אחר בינוי והשקעות בע""מ",מאגר עובדים,ראש פינה,,,605,1200000,,מותלה חוב,NULL
27775,511573032,"אל גאוצ'ו אילת (1991) בע""מ",משכורות לעובדים,אילת,הנשר,11,,8807522,,מאושר,7/11/2001
27874,520024357,בנק הספנות לישראל בעמ,מידע בנקאי - הסטוריה,תל אביב - יפו,,,29373,6129301,,מותלה חוב,NULL
27881,520000118,"בנק הפועלים בע""מ",מאגר מידע,תל אביב - יפו,שד רוטשילד,50,,6688314,,מאושר,11/13/2001
28309,510454333,"אלדן תחבורה  בע""מ",עובדים,תל אביב - יפו,שד ההשכלה,20,,6789020,,מאושר,5/31/2006
28538,510450430,ברינקס ישראל בעמ,קופל ראם,תל אביב - יפו       ,אלון יגאל,86,,6789126,,מאושר,11/25/2001
29251,510753551,"סופר-פארם (ישראל) בע""מ","כרמיאל קק""ל - עובדים",הרצליה,שנקר אריה,16,,4672516,,מאושר,5/28/2006
29343,61199,שירותי בריאות כללית,יח' להתפתות הילד מחוז מרכז,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,4/23/2006
29779,513665349,"כ.א.ז. עובדים בע""מ ",עובדים זרים בענף הבניין,חיפה,רוזוב שמואל,11,,3295331,,מותלה חוב,NULL
30021,511567059,"ג.ר.א.ס. עיצובים ושילובים בע""מ",מועדון לקוחות רשת ג.ר.א.ס,נשר,דרך בר יהודה,50,2040,3666017,כן,מאושר,6/17/2001
30051,500106265,"משרד הבריאות/מ""ר תל-השומר)שיבה(",סיכומי מחלה,רמת גן,דרך לוד,0,,,,מאושר,11/20/2002
30494,520032707,גד חברה לבנין בעמ,ספקים,תל אביב - יפו,,,2387,6102202,,מאושר,6/27/2001
30952,540179298,גולדנט שרותי תקשורת,מערכת לקוחות,תל אביב - יפו,הברזל,19,6397,6106301,כן,מאושר,7/26/2001
31972,500235700,עירית אריאל,לביא,אריאל,יהודה,5,,4070000,,מאושר,12/23/2001
32375,520037094,"מרכז רפואי תל-אביב ע""ש אליאס סוראסקי","משתתפים בניסויים קליניים, המרכז למחקר קל",תל אביב - יפו,ויצמן,6,,6423906,,מאושר,6/8/2006
33075,61199,שירותי בריאות כללית,"מרפאה מזרכת בתיה , מחוז מרכז",תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,4/20/2006
33372,512031147,"גרניט מערכות שכר ויחסי עבודה בע""מ",ללא שם,בני ברק,הרב כהנמן,111,,5155357,,מותלה חוב,NULL
33503,512905555,"אייטיפ  שרותים סלולריים בע""מ",מאגר משתמשי שירותי ערך בנוסף סלולריים,תל אביב - יפו,דרך בגין,122,7073,6701313,כן,מותלה חוב,NULL
33663,541714,ברכת יוסף,"מנב""ס",בני ברק,משולם חיט,2,3268,51118,,מאושר,5/7/2006
35520,511982910,"גיא & דורון לוי הנדסה בנייה והשקעות בע""מ","דורון לוי הנדסה בנייה והשקעות בע""מ",הרצליה,שד אבא אבן,12,,4672530,,מותלה חוב,NULL
35537,511982910,"גיא & דורון לוי הנדסה בנייה והשקעות בע""מ",דורון לוי - חב' שירות תוכנת בניה,הרצליה,שד אבא אבן,12,,4672530,,מותלה חוב,NULL
35550,61199,שירותי בריאות כללית,מרפאת מ .בריאות הילד רמלה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,4/23/2006
35735,510118417,"דחף, מפעלי ארגון פרסום והפצה בעמ",לקוחות וספקים,תל אביב,דרך בן צבי,2,0,6818164,,מאושר,7/31/2001
36151,511999179,"דין - דינמיק בע""מ",מאגר לקוחות,פתח תקווה,אזור תעשיה סגולה,46,,4926912,,מותלה חוב,NULL
36587,510336399,"דן אנד ברדסטריט (ישראל) בע""מ","מאגר מידע עסקי של חברות ועסקים ישראליים, לקוחות וניהול תלונות של לקוחות.",גבעתיים,דרך השלום,53,,5345433,כן,מאושר,3/30/2006
36762,61199,שירותי בריאות כללית,מרפאה כללית לרפואה משלימה - רמת בית שמש,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,4/30/2006
36831,0,,ללא שם,,,,,,,מאושר,12/16/2001
36983,512569237,"דניה סיבוס בע""מ",מערכת נוכחות עובדים,אור יהודה,,,800,6025603,,מאושר,6/20/2001
37041,520033820,"אלעד ישראל מגורים בע""מ",נתוני שכר,נתניה,,,8464,4250407,,מאושר,4/28/2011
37058,520033820,"אלעד ישראל מגורים בע""מ",רוכשי יחידות דיור,נתניה,,,8464,4250407,,מאושר,4/28/2011
37103,510608854,דפרון פתח תקוה 1972 בעמ,"ניהול כ""א ושכר",פתח תקווה,,,4569,4914501,,מותלה חוב,NULL
37378,510643588,דפוס העיר העתיקה בעמ,עוקץ תוכנת שכר,ירושלים,בית הדפוס,30,43155,9548335,,מאושר,7/1/2001
37774,510132905,ניולוג בעמ,משאבי אנוש + ניהול שכר של מ.ל.ל,לוד                 ,יודפת,1,,7129101,,מותלה חוב,NULL
37806,512339177,"דקל אחר בינוי והשקעות בע""מ",רוכשי דירות,ראש פינה,,,605,1200000,,מותלה חוב,NULL
38209,570007476,קרן בטוח ופנסיה לפועלים חקלאים,מבוטחים ובעלי זכויות בקרן הפנסיה,תל אביב - יפו       ,ארלוזורוב,93,,6209801,,מאושר,5/7/2006
38864,510150444,המועצה לייצור ושווק כותנה בעמ,לשכת שכר,הרצליה,,,384,4610302,,מותלה חוב,NULL
39250,511824906,"מועדון ""חבר"" צרכנות בע""מ",מאגר שכר עובדים,בני ברק,,,996,5110803,,מאושר,12/23/2002
39389,513665398,"בוני התיכון (כח אדם) בע""מ",מאגר עובדים זרים חברת בוני התיכון (כח אד,יבנה,,,613,8110601,,מאושר,5/31/2006
39564,580069250,אגודת אולפנת נוה-דקלים,"מנב""ס",בית רבן             ,,,,7923900,,מאושר,4/24/2006
39748,512126798,"החברה לפיתוח משאבי אנוש בשלטון המקומי (1995) בע""מ",נתוני שכר ועבודה,תל אביב - יפו,,,20054,6120001,כן,מותלה חוב,NULL
39923,500103544,"משרד החינוך/טלויזה חינוכית-טח""י",משכורות,תל אביב - יפו,קלוזנר,14,17555,6901127,,מאושר,6/18/2001
40129,512309477,"היסתור-אלטיב בע""מ",לקוחות,תל אביב - יפו,מנורת המאור,8,,6744835,,מאושר,12/9/2001
40295,512530312,"היפר רוזנפלד נ.ר. (1997) בע""מ",משכורות,פתח תקווה,הרב פינטו מסעוד,20,4583,4900519,,מותלה חוב,NULL
40310,61199,שירותי בריאות כללית,אספקה ביתית אונקולוגיה מחוז מרכז,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,4/23/2006
40839,580050789,מכון וינגייט לחינוך גופני ולספורט,משכורות עובדי מכון וינגייט (תלושי שכר),נתניה,מכון וינגייט,,42902,,,מותלה חוב,NULL
41034,0,,"מרפאה עצמאית, דר' נבריסקי",,,,,,,מאושר,11/20/2002
41255,501500227,ועדה מקומית לתכנון עכו,שעון נוכחות עובדים זמן אמת (ניהול תיקי ע,עכו,מרכז שווקים השוק העירוני,999,460,24314,,מותלה חוב,NULL
41278,511804841,"המשביר הישן (בפירוק ע""י ביהמ""ש) בע""מ",חסומי בנק ישראל,הרצליה,בן גוריון,2,71,4678501,,מותלה חוב,NULL
41430,580143436,ידיד המרכז להתפתחות הילד בירושלים,עמותת ידידי המרכז להתפתחות הילד,ירושלים,יפו,157,,9434249,,מותלה חוב,NULL
42239,511709305,"נובו  מדיס  בע""מ",רשימת מנויים,תל אביב - יפו,דרך בגין,37,,6522042,,מאושר,6/24/2001
42596,512244302,"013 נטוויז'ן בע""מ",מערכת תמריצים,נתניה,הגביש,10,4060,4214001,,מותלה חוב,NULL
43365,500237979,עיריית מודיעין עילית,גבייה,מודיעין עילית,שער המלך,4,,7181802,,מאושר,5/7/2006
43410,513028332,"יאהלה פתרונות אינטרנט בע""מ",יאהלה,עכו,רח' קפלן,14,2995,24129,כן,מותלה חוב,NULL
44285,580056539,ת.ל.מ. - תחנות הקיבוצים לטפול בילד ובמשפחה,יומן לקוחות - ת.ל.מ תל אביב,באר שבע,יחול,3,0,0,,מאושר,11/21/2002
44582,520026238,"לנדקו ישראל ייזום וניהול בע""מ",נתוני עובדים,לוד,,,222,7110102,,מותלה חוב,NULL
44737,511112419,"חברת אהרון את גלעדי (1986) בע""מ",ללא שם,חגור,כלנית,74,,4587000,,מותלה חוב,NULL
45176,520023896,"חברת השקעות דיסקונט בע""מ",מאגר מידע חברת השקעות דיסקונט בעמ,תל אביב,גבעת התחמושת,3,0,6702301,,מאושר,6/18/2001
45529,520014838,חברת מלוני השרון בעמ,אורחים ולקוחות,הרצליה              ,רמת ים,4,,4685104,כן,מאושר,11/19/2002
46081,510498249,המבריא בעמ,"הנח""ש",כפר סבא,רופין,13,,4420915,,מאושר,12/23/2002
46648,520039942,"חילן בע""מ",קובץ אב שכר כח אדם ונוכחות,תל אביב - יפו,מיטב,8,,6789809,,מאושר,6/19/2001
46999,510867211,"חמית חברה לסחר מימון והחכרה בע""מ",ללא שם,הרצליה,ספיר,5,,4685209,,מותלה חוב,NULL
47034,512903295,"כיתן אינטראקטיב בע""מ",kmall.co.il,תל אביב - יפו       ,רוזן פנחס,57,24147,6951279,כן,מותלה חוב,NULL
47278,513533174,"ג'ין קייס בע""מ",מאגר - תוצאות בדיקות גנטיות גנטיות,נס ציונה,תבור,25,,7401989,,מאושר,5/28/2006
47460,512037110,"אבני דרך חברה לבניה בע""מ",מאגר שכר,תל אביב - יפו,הנחושת,4,,6971069,,מותלה חוב,NULL
47638,520043258,סולתם מערכות בעמ,משכורות עובדים,יקנעם עילית,,,13,2069201,,מאושר,12/23/2002
47668,512065202,"מיטב דש גמל ופנסיה בע""מ",עמיתי מיטב מרכזית לפיצויים,בני ברק             ,ששת הימים,30,2442,5112302,כן,מאושר,5/7/2006
48222,512854951,"ביזנס נט - מידע מקוון בע""מ","ביזנס נט מידע מקוון בע""מ",תל אביב - יפו,שוקן,18,35029,6655604,,מותלה חוב,NULL
48443,500236401,מ. מ. קרני שומרון,מיחשוב תיקי פונים למחלקת הרווחה,קרני שומרון,,,444,4485500,,מאושר,11/19/2002
48992,520038662,"כביש חוצה ישראל בע""מ",נעים לירוק- איתוראן - ניטור הרגלי נסיעה.,תל אביב - יפו,אלון יגאל,65,,6744316,,מאושר,6/15/2015
49289,513707463,"אי.4.בי - פיתוח תוכנה בע""מ",תגובות-מאגר עסקים,באר שבע             ,אלדד ישראל שייב,27,,,,מאושר,5/20/2013
49335,511712598,"טלכלל בע""מ",לקוחות טלכלל,תל אביב - יפו,,,28130,6128101,,מאושר,11/19/2002
49784,510753551,"סופר-פארם (ישראל) בע""מ",לוד תרופות המירשם,הרצליה,שנקר אריה,16,,4672516,כן,מאושר,5/28/2006
52139,513337378,"שירותי תקשורת מקוונת בע""מ",בליינד דייט,בת ים               ,אוסקר שינדלר,20,,,,מותלה חוב,NULL
52442,560011652,הרלינשטון ג בי.וי הולידיי אין אשקלון,ספקים,תל אביב - יפו,,,7398,6107301,,מאושר,4/20/2006
52694,500106406,משרד הרווחה/המשרד הראשי,תפוקות חסות הנוער מעון הנוער מסילה אורה,ירושלים,בנק ישראל,5,,9195021,,מאושר,4/24/2006
52702,512681628,"יהב מערכות צנרת בע""מ",ללא שם,מושב נחלים,מושב נחלים,36,0,49950,,מאושר,12/9/2001
53228,500500517,בנק ישראל/ המשרד הראשי,מערכת דיווחים ישירים,ירושלים,,,780,9100701,,מאושר,6/8/2006
53852,510812118,"יורם גדיש חברה להנדסה בע""מ",עובדים - לצורך תשלום שכר,תל אביב - יפו,תוצרת הארץ,18,,6789112,,מותלה חוב,NULL
54079,513520304,"מרלין תקשורת בע""מ",מרלין,נתניה,,,8864,42504,,מאושר,5/20/2013
54970,500106406,משרד הרווחה/המשרד הראשי,תפוקות חסות הנוער מעון נוה חורש,ירושלים,בנק ישראל,5,,9195021,,מאושר,4/24/2006
55472,511483133,"ישראייר תעופה ותיירות בע""מ",מאגר לקוחות,תל אביב - יפו       ,המלאכה,3,26444,6126302,,מאושר,NULL
55541,511933996,"כפן ה-3 בע""מ",בלוקבסטר,הרצליה,,,12040,46725,כן,מאושר,11/21/2002
55818,520043399,"כ.א.ן. גולן 1979 בע""מ",רוכשי דירות,קריית מוצקין,דרך עכו,133,3389,2641203,,מותלה חוב,NULL
55892,511857948,"כבל-תק בע""מ",כבלתק,תל אביב - יפו,הברזל,32,,6971046,,מאושר,6/27/2001
55977,511892085,"פז שמנים וכימיקלים (שיווק ומסחר) בע""מ","שכר ונתוני כ""א",חיפה,דרך גזאל,8,55,,,מאושר,4/23/2006
56303,511457657,"כח - עוצמה בע""מ",כח עוצמה בעמ,רמת גן,דרך בן גוריון דוד,8,967,5257337,,מותלה חוב,NULL
56394,500213517,מודיעין-מכבים-רעות,תוכנת ניהול ופיקוח בניה,מודיען מכבים,תלתן,1,1,71700,,מאושר,4/28/2011
56501,520027830,כימיקלים לישראל בעמ,משאבי אנוש,תל אביב,ארניה אסוולדו,23,,6107025,,מאושר,11/18/2001
57613,511004368,"פרמהבסט (1983) בע""מ",רשומות תפוצה של רופאי הילדים בישראל,תל אביב - יפו,לינקולן,8,,6522040,,מאושר,5/20/2013
57742,510753551,"סופר-פארם (ישראל) בע""מ",בת ים - עובדים,הרצליה,שנקר אריה,16,,4672516,,מאושר,5/28/2006
58306,513611509,"ילין - לפידות ניהול קופות גמל בע""מ",ילין לפידות - קופות גמל,תל אביב - יפו,דיזנגוף,50,,6433222,כן,מאושר,5/31/2006
59013,500102926,משרד הכלכלה,"נוכחות עובדים מחוז ת""א עבודה",ירושלים,בנק ישראל,5,,9195021,,מאושר,4/24/2006
59020,513992115,"אי-ברוקר מסחר וניירות ערך בע""מ",מאגר תיקי לקוחות,תל אביב - יפו,יהודה הלוי,18,,6513710,,מאושר,11/21/2002
59600,511099624,"למינציה ירושלים 1986 בע""מ",עוקץ - תוכנת שכר,ירושלים,,,43155,9143101,,מאושר,7/1/2001
59723,540072154,לפיד סוכני מכס ותחבורה,משכורות עובדים (תוכנה),תל אביב - יפו,נחלת בנימין,63,,6515409,,מותלה חוב,NULL
60293,500106406,משרד הרווחה/המשרד הראשי,אמוץ מחוזות מחוז באר שבע,ירושלים,בנק ישראל,5,,9195021,,מאושר,4/24/2006
60880,580235232,מ.ט.י. רעננה,מ.ט.י רעננה,רעננה,תל-חי,3,0,43405,כן,מותלה חוב,NULL
60989,513063180,"אי.אר.אן. ישראל בע""מ",קובץ בתי עסק,תל אביב - יפו       ,יגאל אלון,53,,6706206,,מאושר,11/21/2002
61260,580030070,מועדון מכוניות וסיירות בישראל (מ.מ.ס.י.),רשימת לקוחות,תל אביב - יפו,הרכבת,20,,6511703,,מותלה חוב,NULL
61414,512364795,"מ.ע.ש. מערכות עיטוף בע""מ",לקוחות - שיווק,ראשון לציון,הכשרת הישוב,10,0,7565223,כן,מאושר,7/18/2001
61597,512415043,"מ.ע.ש. השחזות מדויקות בע""מ","מ.ר.ל.מ השכון (1996) בע""מ",הרצליה,בן גוריון,15,,4678512,,מאושר,11/19/2002
62015,0,,"ד""ר שאהין מרפאה עצמאית",,,,,,,מאושר,12/23/2002
62206,0,,"מרפאה עצמאית ק""ח כללי",,,,,,,מאושר,4/20/2006
62411,520004896,"מגדל חברה לביטוח בע""מ",מאגר פניות לקוחות חברת מגדל,פתח תקווה,אפעל,4,3063,4951104,,מאושר,6/20/2001
62619,500102926,משרד הכלכלה,מיני מרשם של PC,ירושלים,בנק ישראל,5,,9195021,,מאושר,4/24/2006
63973,511059768,"מוסך אחים מזרחי בע""מ","מוסך אחים מזרחי בע""מ",חיפה,תל אביב,18,9603,3541518,,מאושר,6/21/2001
